"0,0,0",ClientProtocol.getFileInfo,0,"{""src"": ""#0""}","{""#0"": [""Y"", ""/tmp/hadoop-yarn/staging/shir/.staging""]}"
"0,0,1",ClientProtocol.getFileInfo,22,"{""src"": ""#0""}","{""#0"": [""P"", ""/tmp/hadoop-yarn/staging/shir/.staging/job_<JOBID>_0001/COMMIT_STARTED""]}"
"0,0,2",ClientProtocol.getFileInfo,3,"{""src"": ""#0""}","{""#0"": [""P"", ""/tmp/hadoop-yarn/staging/shir/.staging/job_<JOBID>_0001/COMMIT_SUCCESS""]}"
"0,0,3",ClientProtocol.getFileInfo,2,"{""src"": ""#0""}","{""#0"": [""P"", ""/tmp/hadoop-yarn/staging/shir/.staging/job_<JOBID>_0001/COMMIT_FAIL""]}"
"0,0,4",ClientProtocol.getFileInfo,96,"{""src"": ""#0""}","{""#0"": [""P"", ""/tmp/hadoop-yarn/staging/shir/.staging/job_<JOBID>_0001""]}"
"0,0,5",ClientProtocol.getFileInfo,3,"{""src"": ""#0""}","{""#0"": [""Y"", ""/tmp/hadoop-yarn/staging/history/done_intermediate""]}"
"0,0,6",ClientProtocol.getFileInfo,2,"{""src"": ""#0""}","{""#0"": [""Y"", ""/tmp/hadoop-yarn/staging/history/done_intermediate""]}"
"0,0,7",ClientProtocol.mkdirs,3,"{""src"": ""#0"", ""masked"": {""perm"": ""#1""}, ""createParent"": ""#2""}","{""#2"": [""Y"", true], ""#0"": [""Y"", ""/tmp/hadoop-yarn/staging/history/done_intermediate""], ""#1"": [""Y"", 493]}"
"0,0,8",ClientProtocol.getFileInfo,45,"{""src"": ""#0""}","{""#0"": [""Y"", ""/tmp/hadoop-yarn/staging/history/done_intermediate""]}"
"0,0,9",ClientProtocol.setPermission,3,"{""src"": ""#0"", ""permission"": {""perm"": ""#1""}}","{""#0"": [""Y"", ""/tmp/hadoop-yarn/staging/history/done_intermediate""], ""#1"": [""Y"", 1023]}"
"0,0,10",ClientProtocol.getFileInfo,24,"{""src"": ""#0""}","{""#0"": [""Y"", ""/tmp/hadoop-yarn/staging/history/done_intermediate/shir""]}"
"0,0,11",ClientProtocol.mkdirs,3,"{""src"": ""#0"", ""masked"": {""perm"": ""#1""}, ""createParent"": ""#2""}","{""#2"": [""Y"", true], ""#0"": [""Y"", ""/tmp/hadoop-yarn/staging/history/done_intermediate/shir""], ""#1"": [""Y"", 488]}"
"0,0,12",ClientProtocol.getFileInfo,12,"{""src"": ""#0""}","{""#0"": [""Y"", ""/tmp/hadoop-yarn/staging/history/done_intermediate/shir""]}"
"0,0,13",ClientProtocol.setPermission,3,"{""src"": ""#0"", ""permission"": {""perm"": ""#1""}}","{""#0"": [""Y"", ""/tmp/hadoop-yarn/staging/history/done_intermediate/shir""], ""#1"": [""Y"", 504]}"
"0,0,14",ClientProtocol.getFileInfo,117,"{""src"": ""#0""}","{""#0"": [""P"", ""/tmp/hadoop-yarn/staging/shir/.staging/job_<JOBID>_0001/job.splitmetainfo""]}"
"0,0,15",ClientProtocol.getBlockLocations,5,"{""offset"": ""#0"", ""length"": ""#1"", ""src"": ""#2""}","{""#2"": [""R"", ""L-SS,,, am-0001-01.0,0,0,14,,, s,,, ClientProtocol.getFileInfo,src""], ""#0"": [""Y"", 0], ""#1"": [""Y"", 1342177280]}"
"0,0,16",ClientProtocol.getServerDefaults,24,,
"0,0,17",ClientProtocol.create,1314,"{""clientName"": ""#0"", ""masked"": {""perm"": ""#2""}, ""replication"": ""#4"", ""createParent"": ""#5"", ""src"": ""#1"", ""blockSize"": ""#6"", ""createFlag"": ""#7"", ""cryptoProtocolVersion"": [""#3""]}","{""#2"": [""Y"", 420], ""#3"": [""Y"", ""ENCRYPTION_ZONES""], ""#0"": [""P"", ""DFSClient_NONMAPREDUCE_<RAND>_1""], ""#6"": [""Y"", 134217728], ""#1"": [""P"", ""/tmp/hadoop-yarn/staging/shir/.staging/job_<JOBID>_0001/job_<JOBID>_0001_1.jhist""], ""#5"": [""Y"", true], ""#4"": [""Y"", 3], ""#7"": [""Y"", 3]}"
"0,0,18",ClientProtocol.mkdirs,0,"{""src"": ""#0"", ""masked"": {""perm"": ""#1""}, ""createParent"": ""#2""}","{""#2"": [""Y"", true], ""#0"": [""P"", ""/terasort/in-<JOBID>-198/_temporary/1""], ""#1"": [""Y"", 493]}"
"0,0,19",ClientProtocol.create,78,"{""clientName"": ""#0"", ""masked"": {""perm"": ""#2""}, ""replication"": ""#4"", ""createParent"": ""#5"", ""src"": ""#1"", ""blockSize"": ""#6"", ""createFlag"": ""#7"", ""cryptoProtocolVersion"": [""#3""]}","{""#2"": [""Y"", 420], ""#3"": [""Y"", ""ENCRYPTION_ZONES""], ""#0"": [""R"", ""L-SS,,, am-0001-01.0,0,0,17,,, s,,, ClientProtocol.create,clientName""], ""#6"": [""Y"", 134217728], ""#1"": [""P"", ""/tmp/hadoop-yarn/staging/shir/.staging/job_<JOBID>_0001/job_<JOBID>_0001_1_conf.xml""], ""#5"": [""Y"", true], ""#4"": [""Y"", 3], ""#7"": [""Y"", 3]}"
"0,0,20",ClientProtocol.addBlock,68,"{""clientName"": ""#0"", ""fileId"": ""#1"", ""src"": ""#2""}","{""#2"": [""R"", ""L-SS,,, am-0001-01.0,0,0,19,,, s,,, ClientProtocol.create,src""], ""#0"": [""R"", ""L-SS,,, am-0001-01.0,0,0,19,,, s,,, ClientProtocol.create,clientName""], ""#1"": [""R"", ""L-SS,,, am-0001-01.0,0,0,19,,, r,,, ClientProtocol.create,fs.fileId""]}"
