"0,0,0",ClientProtocol.getBlockLocations,0,"{""offset"": ""#0"", ""length"": ""#1"", ""src"": ""#2""}","{""#2"": [""P"", ""/tmp/hadoop-yarn/staging/shir/.staging/job_<JOBID>_0001/job.split""], ""#0"": [""Y"", 0], ""#1"": [""Y"", 1342177280]}"
"0,0,1",ClientProtocol.getServerDefaults,40,,
"0,0,2",ClientProtocol.create,42,"{""clientName"": ""#0"", ""masked"": {""perm"": ""#2""}, ""replication"": ""#4"", ""createParent"": ""#5"", ""src"": ""#1"", ""blockSize"": ""#6"", ""createFlag"": ""#7"", ""cryptoProtocolVersion"": [""#3""]}","{""#2"": [""Y"", 420], ""#3"": [""Y"", ""ENCRYPTION_ZONES""], ""#0"": [""P"", ""DFSClient_attempt_<JOBID>_0001_m_000027_0_<RAND>_0""], ""#6"": [""Y"", 134217728], ""#1"": [""P"", ""/terasort/in-<JOBID>-198/_temporary/1/_temporary/attempt_<JOBID>_0001_m_000027_0/part-m-00027""], ""#5"": [""Y"", true], ""#4"": [""Y"", 3], ""#7"": [""Y"", 3]}"
"0,0,3",ClientProtocol.addBlock,59,"{""clientName"": ""#0"", ""fileId"": ""#1"", ""src"": ""#2""}","{""#2"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,2,,, s,,, ClientProtocol.create,src""], ""#0"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,2,,, s,,, ClientProtocol.create,clientName""], ""#1"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,2,,, r,,, ClientProtocol.create,fs.fileId""]}"
"0,0,4",DatanodeProtocol.blockReceivedAndDeleted,2391,"{""registration"": {""datanodeID"": {""infoSecurePort"": ""#8"", ""datanodeUuid"": ""#19"", ""xferPort"": ""#16"", ""infoPort"": ""#14"", ""ipcPort"": ""#26"", ""hostName"": ""#22"", ""ipAddr"": ""#0""}, ""storageInfo"": {""clusterID"": ""#4"", ""namespceID"": ""#13"", ""cTime"": ""#20"", ""layoutVersion"": ""#3""}, ""keys"": {""tokenLifeTime"": ""#23"", ""keyUpdateInterval"": ""#12"", ""currentKey"": {""keyId"": ""#10"", ""expiryDate"": ""#18"", ""keyBytes"": ""#7""}, ""isBlockTokenEnabled"": ""#1""}, ""softwareVersion"": ""#17""}, ""blocks"": [{""storageUuid"": ""#5"", ""storage"": {""storageUuid"": ""#21"", ""state"": ""#9"", ""storageType"": ""#11""}, ""blocks"": [{""deleteHint"": ""#24"", ""block"": {""blockId"": ""#6"", ""genStamp"": ""#27"", ""numBytes"": ""#2""}, ""status"": ""#25""}]}], ""blockPoolId"": ""#15""}","{""#11"": [""Y"", ""DISK""], ""#5"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,reports[0].storage.storageUuid""], ""#13"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.storageInfo.namespceID""], ""#16"": [""M"", ""<XFERPORT>""], ""#2"": [""Y"", 134217728], ""#10"": [""Y"", 0], ""#12"": [""Y"", 0], ""#23"": [""Y"", 0], ""#27"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, r,,, ClientProtocol.addBlock,block.b.generationStamp""], ""#19"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.datanodeUuid""], ""#25"": [""Y"", ""RECEIVED""], ""#4"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.storageInfo.clusterID""], ""#7"": [""Y"", """"], ""#24"": [""Y"", """"], ""#6"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, r,,, ClientProtocol.addBlock,block.b.blockId""], ""#26"": [""M"", ""<IPCPORT>""], ""#9"": [""Y"", ""NORMAL""], ""#18"": [""Y"", 0], ""#20"": [""Y"", 0], ""#21"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,reports[0].storage.storageUuid""], ""#3"": [""Y"", 4294967240], ""#17"": [""Y"", ""2.7.3""], ""#14"": [""M"", ""<INFOPORT>""], ""#0"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.ipAddr""], ""#22"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.hostName""], ""#1"": [""Y"", false], ""#15"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,blockPoolId""], ""#8"": [""M"", ""<INFOSECUREPORT>""]}"
"0,0,5",DatanodeProtocol.blockReceivedAndDeleted,2392,"{""registration"": {""datanodeID"": {""infoSecurePort"": ""#8"", ""datanodeUuid"": ""#19"", ""xferPort"": ""#16"", ""infoPort"": ""#14"", ""ipcPort"": ""#26"", ""hostName"": ""#22"", ""ipAddr"": ""#0""}, ""storageInfo"": {""clusterID"": ""#4"", ""namespceID"": ""#13"", ""cTime"": ""#20"", ""layoutVersion"": ""#3""}, ""keys"": {""tokenLifeTime"": ""#23"", ""keyUpdateInterval"": ""#12"", ""currentKey"": {""keyId"": ""#10"", ""expiryDate"": ""#18"", ""keyBytes"": ""#7""}, ""isBlockTokenEnabled"": ""#1""}, ""softwareVersion"": ""#17""}, ""blocks"": [{""storageUuid"": ""#5"", ""storage"": {""storageUuid"": ""#21"", ""state"": ""#9"", ""storageType"": ""#11""}, ""blocks"": [{""deleteHint"": ""#24"", ""block"": {""blockId"": ""#6"", ""genStamp"": ""#27"", ""numBytes"": ""#2""}, ""status"": ""#25""}]}], ""blockPoolId"": ""#15""}","{""#11"": [""Y"", ""DISK""], ""#5"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,reports[0].storage.storageUuid""], ""#13"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.storageInfo.namespceID""], ""#16"": [""M"", ""<XFERPORT>""], ""#2"": [""Y"", 134217728], ""#10"": [""Y"", 0], ""#12"": [""Y"", 0], ""#23"": [""Y"", 0], ""#27"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, r,,, ClientProtocol.addBlock,block.b.generationStamp""], ""#19"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.datanodeUuid""], ""#25"": [""Y"", ""RECEIVED""], ""#4"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.storageInfo.clusterID""], ""#7"": [""Y"", """"], ""#24"": [""Y"", """"], ""#6"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, r,,, ClientProtocol.addBlock,block.b.blockId""], ""#26"": [""M"", ""<IPCPORT>""], ""#9"": [""Y"", ""NORMAL""], ""#18"": [""Y"", 0], ""#20"": [""Y"", 0], ""#21"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,reports[0].storage.storageUuid""], ""#3"": [""Y"", 4294967240], ""#17"": [""Y"", ""2.7.3""], ""#14"": [""M"", ""<INFOPORT>""], ""#0"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.ipAddr""], ""#22"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.hostName""], ""#1"": [""Y"", false], ""#15"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,blockPoolId""], ""#8"": [""M"", ""<INFOSECUREPORT>""]}"
"0,0,6",DatanodeProtocol.blockReceivedAndDeleted,2391,"{""registration"": {""datanodeID"": {""infoSecurePort"": ""#8"", ""datanodeUuid"": ""#19"", ""xferPort"": ""#16"", ""infoPort"": ""#14"", ""ipcPort"": ""#26"", ""hostName"": ""#22"", ""ipAddr"": ""#0""}, ""storageInfo"": {""clusterID"": ""#4"", ""namespceID"": ""#13"", ""cTime"": ""#20"", ""layoutVersion"": ""#3""}, ""keys"": {""tokenLifeTime"": ""#23"", ""keyUpdateInterval"": ""#12"", ""currentKey"": {""keyId"": ""#10"", ""expiryDate"": ""#18"", ""keyBytes"": ""#7""}, ""isBlockTokenEnabled"": ""#1""}, ""softwareVersion"": ""#17""}, ""blocks"": [{""storageUuid"": ""#5"", ""storage"": {""storageUuid"": ""#21"", ""state"": ""#9"", ""storageType"": ""#11""}, ""blocks"": [{""deleteHint"": ""#24"", ""block"": {""blockId"": ""#6"", ""genStamp"": ""#27"", ""numBytes"": ""#2""}, ""status"": ""#25""}]}], ""blockPoolId"": ""#15""}","{""#11"": [""Y"", ""DISK""], ""#5"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,reports[0].storage.storageUuid""], ""#13"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.storageInfo.namespceID""], ""#16"": [""M"", ""<XFERPORT>""], ""#2"": [""Y"", 134217728], ""#10"": [""Y"", 0], ""#12"": [""Y"", 0], ""#23"": [""Y"", 0], ""#27"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, r,,, ClientProtocol.addBlock,block.b.generationStamp""], ""#19"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.datanodeUuid""], ""#25"": [""Y"", ""RECEIVED""], ""#4"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.storageInfo.clusterID""], ""#7"": [""Y"", """"], ""#24"": [""Y"", """"], ""#6"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, r,,, ClientProtocol.addBlock,block.b.blockId""], ""#26"": [""M"", ""<IPCPORT>""], ""#9"": [""Y"", ""NORMAL""], ""#18"": [""Y"", 0], ""#20"": [""Y"", 0], ""#21"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,reports[0].storage.storageUuid""], ""#3"": [""Y"", 4294967240], ""#17"": [""Y"", ""2.7.3""], ""#14"": [""M"", ""<INFOPORT>""], ""#0"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.ipAddr""], ""#22"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.hostName""], ""#1"": [""Y"", false], ""#15"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,blockPoolId""], ""#8"": [""M"", ""<INFOSECUREPORT>""]}"
"0,0,7",ClientProtocol.addBlock,1,"{""clientName"": ""#0"", ""fileId"": ""#1"", ""previous"": {""blockId"": ""#2"", ""generationStamp"": ""#6"", ""poolId"": ""#3"", ""numBytes"": ""#5""}, ""src"": ""#4""}","{""#2"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, r,,, ClientProtocol.addBlock,block.b.blockId""], ""#3"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, r,,, ClientProtocol.addBlock,block.b.poolId""], ""#0"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, s,,, ClientProtocol.addBlock,clientName""], ""#6"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, r,,, ClientProtocol.addBlock,block.b.generationStamp""], ""#1"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, s,,, ClientProtocol.addBlock,fileId""], ""#5"": [""Y"", 134217728], ""#4"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,3,,, s,,, ClientProtocol.addBlock,src""]}"
"0,0,8",DatanodeProtocol.blockReceivedAndDeleted,2372,"{""registration"": {""datanodeID"": {""infoSecurePort"": ""#8"", ""datanodeUuid"": ""#19"", ""xferPort"": ""#16"", ""infoPort"": ""#14"", ""ipcPort"": ""#26"", ""hostName"": ""#22"", ""ipAddr"": ""#0""}, ""storageInfo"": {""clusterID"": ""#4"", ""namespceID"": ""#13"", ""cTime"": ""#20"", ""layoutVersion"": ""#3""}, ""keys"": {""tokenLifeTime"": ""#23"", ""keyUpdateInterval"": ""#12"", ""currentKey"": {""keyId"": ""#10"", ""expiryDate"": ""#18"", ""keyBytes"": ""#7""}, ""isBlockTokenEnabled"": ""#1""}, ""softwareVersion"": ""#17""}, ""blocks"": [{""storageUuid"": ""#5"", ""storage"": {""storageUuid"": ""#21"", ""state"": ""#9"", ""storageType"": ""#11""}, ""blocks"": [{""deleteHint"": ""#24"", ""block"": {""blockId"": ""#6"", ""genStamp"": ""#27"", ""numBytes"": ""#2""}, ""status"": ""#25""}]}], ""blockPoolId"": ""#15""}","{""#11"": [""Y"", ""DISK""], ""#5"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,reports[0].storage.storageUuid""], ""#13"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.storageInfo.namespceID""], ""#16"": [""M"", ""<XFERPORT>""], ""#2"": [""Y"", 134217728], ""#10"": [""Y"", 0], ""#12"": [""Y"", 0], ""#23"": [""Y"", 0], ""#27"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,7,,, r,,, ClientProtocol.addBlock,block.b.generationStamp""], ""#19"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.datanodeUuid""], ""#25"": [""Y"", ""RECEIVED""], ""#4"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.storageInfo.clusterID""], ""#7"": [""Y"", """"], ""#24"": [""Y"", """"], ""#6"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,7,,, r,,, ClientProtocol.addBlock,block.b.blockId""], ""#26"": [""M"", ""<IPCPORT>""], ""#9"": [""Y"", ""NORMAL""], ""#18"": [""Y"", 0], ""#20"": [""Y"", 0], ""#21"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,reports[0].storage.storageUuid""], ""#3"": [""Y"", 4294967240], ""#17"": [""Y"", ""2.7.3""], ""#14"": [""M"", ""<INFOPORT>""], ""#0"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.ipAddr""], ""#22"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.hostName""], ""#1"": [""Y"", false], ""#15"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,blockPoolId""], ""#8"": [""M"", ""<INFOSECUREPORT>""]}"
"0,0,9",DatanodeProtocol.blockReceivedAndDeleted,2372,"{""registration"": {""datanodeID"": {""infoSecurePort"": ""#8"", ""datanodeUuid"": ""#19"", ""xferPort"": ""#16"", ""infoPort"": ""#14"", ""ipcPort"": ""#26"", ""hostName"": ""#22"", ""ipAddr"": ""#0""}, ""storageInfo"": {""clusterID"": ""#4"", ""namespceID"": ""#13"", ""cTime"": ""#20"", ""layoutVersion"": ""#3""}, ""keys"": {""tokenLifeTime"": ""#23"", ""keyUpdateInterval"": ""#12"", ""currentKey"": {""keyId"": ""#10"", ""expiryDate"": ""#18"", ""keyBytes"": ""#7""}, ""isBlockTokenEnabled"": ""#1""}, ""softwareVersion"": ""#17""}, ""blocks"": [{""storageUuid"": ""#5"", ""storage"": {""storageUuid"": ""#21"", ""state"": ""#9"", ""storageType"": ""#11""}, ""blocks"": [{""deleteHint"": ""#24"", ""block"": {""blockId"": ""#6"", ""genStamp"": ""#27"", ""numBytes"": ""#2""}, ""status"": ""#25""}]}], ""blockPoolId"": ""#15""}","{""#11"": [""Y"", ""DISK""], ""#5"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,reports[0].storage.storageUuid""], ""#13"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.storageInfo.namespceID""], ""#16"": [""M"", ""<XFERPORT>""], ""#2"": [""Y"", 134217728], ""#10"": [""Y"", 0], ""#12"": [""Y"", 0], ""#23"": [""Y"", 0], ""#27"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,7,,, r,,, ClientProtocol.addBlock,block.b.generationStamp""], ""#19"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.datanodeUuid""], ""#25"": [""Y"", ""RECEIVED""], ""#4"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.storageInfo.clusterID""], ""#7"": [""Y"", """"], ""#24"": [""Y"", """"], ""#6"": [""R"", ""L-SS,,, mapper-0001-01.0,0,0,7,,, r,,, ClientProtocol.addBlock,block.b.blockId""], ""#26"": [""M"", ""<IPCPORT>""], ""#9"": [""Y"", ""NORMAL""], ""#18"": [""Y"", 0], ""#20"": [""Y"", 0], ""#21"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,reports[0].storage.storageUuid""], ""#3"": [""Y"", 4294967240], ""#17"": [""Y"", ""2.7.3""], ""#14"": [""M"", ""<INFOPORT>""], ""#0"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.ipAddr""], ""#22"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,registration.datanodeID.hostName""], ""#1"": [""Y"", false], ""#15"": [""R"", ""G-SS,,, dn.0,0,0,2,,, s,,, DatanodeProtocol.blockReport,blockPoolId""], ""#8"": [""M"", ""<INFOSECUREPORT>""]}"
